run,ep,result,passos,recompensa,taxa_vitoria
28,6,MORTE,436,117.1,0.0
28,7,MORTE,433,7.1,0.0
28,8,MORTE,349,20.5,0.0
28,9,MORTE,369,2.9,0.0
28,10,MORTE,386,224.0,0.0
28,11,MORTE,426,89.4,0.0
28,12,MORTE,372,88.0,0.0
28,13,MORTE,474,99.7,0.0
28,14,MORTE,475,82.9,0.0
28,15,MORTE,398,-12.3,0.0
28,16,MORTE,547,372.6,0.0
28,17,MORTE,373,134.8,0.0
